date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:13:35	10357/10357	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:34%20GMT	https://hello-angularjs.appspot.com/	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/index.html	(from )
16:13:35	44/44	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:34%20GMT	https://hello-angularjs.appspot.com/robots.txt		(from )
16:13:37	121260/121260	---MCZ	200	added ('OK')	text/css	etag:W/%222f624089c65f12185e79925bc5a7fc42%22	http://netdna.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	C:/My%20Web%20Sites/AngularJS/netdna.bootstrapcdn.com/bootstrap/3.3.6/css/bootstrap.min.css	(from https://hello-angularjs.appspot.com/)
16:13:39	12894/12894	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:37%20GMT	https://hello-angularjs.appspot.com/helloworld	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/helloworld.html	(from https://hello-angularjs.appspot.com/)
16:13:39	52370/52370	---M--	200	added ('OK')	application/x-javascript	etag:%22y4ptqQ%22	https://hello-angularjs.appspot.com/assets/js/ui-bootstrap-tpls-0.9.0.min.js	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/assets/js/ui-bootstrap-tpls-0.9.0.min.js	(from https://hello-angularjs.appspot.com/)
16:13:40	15443/15443	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:39%20GMT	https://hello-angularjs.appspot.com/addtablerow	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/addtablerow.html	(from https://hello-angularjs.appspot.com/)
16:13:41	14750/14750	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:40%20GMT	https://hello-angularjs.appspot.com/removetablerow	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/removetablerow.html	(from https://hello-angularjs.appspot.com/)
16:13:42	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	http://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/AngularJS/www.google-analytics.com/analytics.js	(from https://hello-angularjs.appspot.com/)
16:13:42	14856/14856	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:40%20GMT	https://hello-angularjs.appspot.com/searchtable	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/searchtable.html	(from https://hello-angularjs.appspot.com/)
16:13:43	12773/12773	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:42%20GMT	https://hello-angularjs.appspot.com/sorttablecolumn	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/sorttablecolumn.html	(from https://hello-angularjs.appspot.com/)
16:13:43	10453/10453	---MCZ	200	added ('OK')	text/html	date:Tue,%2003%20Jan%202017%2010:43:43%20GMT	https://hello-angularjs.appspot.com/angularjs-unit-test-code-example-1	C:/My%20Web%20Sites/AngularJS/hello-angularjs.appspot.com/angularjs-unit-test-code-example-1.html	(from https://hello-angularjs.appspot.com/)
